Ф‘НЖ,4,
ЦЉСO,ГXГ^Б[ГTГtГ@ГCГA,
МƒВ—ЦЉ,ГXГ^Б[,
КоСb,0,5
КоСb,1,1200
КоСb,2,5
КоСb,3,100
КоСb,4,100

КоСb,5,1000
КоСb,6,1000
КоСb,7,1000
КоСb,8,1000
КоСb,9,1000
КоСb,10,1000
КоСb,11,1000
КоСb,12,1000
КоСb,13,2000
КоСb,14,2000

КоСb,15,100
КоСb,16,200
КоСb,20,100000
КоСb,21,100
КоСb,23,100
КоСb,24,1000
КоСb,25,1000

КоСb,30,63
КоСb,31,56
КоСb,32,69
КоСb,33,137
КоСb,34,310

КоСb,40,600
КоСb,41,600
КоСb,42,600
КоСb,43,600
КоСb,44,600
КоСb,45,600
КоСb,46,600
КоСb,47,600
КоСb,48,600
КоСb,49,600
КоСb,51,16777216
КоСb,52,16777216

КоСb,80,30
КоСb,81,10
КоСb,82,10
КоСb,83,10
КоСb,84,10

КоСb,90,400
КоСb,91,200
КоСb,92,100
КоСb,97,4

КоСb,100,100000
КоСb,101,100000
КоСb,102,100000
КоСb,103,100000
КоСb,104,100000
КоСb,105,100000
КоСb,106,100000
КоСb,107,100000

КоСb,150,500
КоСb,151,500
КоСb,152,500
КоСb,153,500

СfОњ,0,1
СfОњ,547,1
